time,cost,duration
3387600,0.271,3600
3391200,0.466,3600
3394800,0.533,3600
3398400,0.28,3600
3402000,0.116,3600
3405600,0.04,3600
3409200,0.02,3600
3412800,0.011,3600
3416400,0.019,3600
3420000,0.026,3600
3423600,0.063,3600
3427200,0.096,3600
3430800,0.236,3600
3434400,0.493,3600
3438000,0.662,3600
3441600,0.536,3600
3445200,0.412,3600
3448800,0.29,3600
3452400,0.221,3600
3456000,0.171,3600
3459600,0.144,3600
3463200,0.138,3600
3466800,0.152,3600
3470400,0.183,3600
3474000,0.271,3600
3477600,0.466,3600
3481200,0.533,3600
3484800,0.28,3600
3488400,0.116,3600
3492000,0.04,3600
3495600,0.02,3600
3499200,0.011,3600
3502800,0.019,3600
3506400,0.026,3600
3510000,0.063,3600
3513600,0.096,3600
3517200,0.236,3600
3520800,0.493,3600
3524400,0.662,3600
3528000,0.536,3600
3531600,0.412,3600
3535200,0.29,3600
3538800,0.221,3600
3542400,0.171,3600
3546000,0.144,3600
3549600,0.138,3600
3553200,0.152,3600
3556800,0.183,3600
3560400,0.271,3600
3564000,0.466,3600
3567600,0.533,3600
3571200,0.28,3600
3574800,0.116,3600
3578400,0.04,3600
3582000,0.02,3600
3585600,0.011,3600
3589200,0.019,3600
3592800,0.026,3600
3596400,0.063,3600
3600000,0.096,3600
3603600,0.236,3600
3607200,0.493,3600
3610800,0.662,3600
3614400,0.536,3600
3618000,0.412,3600
3621600,0.29,3600
3625200,0.221,3600
3628800,0.171,3600
3632400,0.144,3600
3636000,0.138,3600
3639600,0.152,3600
3643200,0.183,3600
3646800,0.271,3600
3650400,0.466,3600
3654000,0.533,3600
3657600,0.28,3600
3661200,0.116,3600
3664800,0.04,3600
3668400,0.02,3600
3672000,0.011,3600
3675600,0.019,3600
3679200,0.026,3600
3682800,0.063,3600
3686400,0.096,3600
3690000,0.236,3600
3693600,0.493,3600
3697200,0.662,3600
3700800,0.536,3600
3704400,0.412,3600
3708000,0.29,3600
3711600,0.221,3600
3715200,0.171,3600
3718800,0.144,3600
3722400,0.138,3600
3726000,0.152,3600
3729600,0.183,3600
3733200,0.271,3600
3736800,0.466,3600
3740400,0.533,3600
3744000,0.28,3600
3747600,0.116,3600
3751200,0.04,3600
3754800,0.02,3600
3758400,0.011,3600
3762000,0.019,3600
3765600,0.026,3600
3769200,0.063,3600
3772800,0.096,3600
3776400,0.236,3600
3780000,0.493,3600
3783600,0.662,3600
3787200,0.536,3600
3790800,0.412,3600
3794400,0.29,3600
3798000,0.221,3600
3801600,0.171,3600
3805200,0.144,3600
3808800,0.138,3600
3812400,0.152,3600
3816000,0.183,3600
3819600,0.271,3600
3823200,0.466,3600
3826800,0.533,3600
3830400,0.28,3600
3834000,0.116,3600
3837600,0.04,3600
3841200,0.02,3600
3844800,0.011,3600
3848400,0.019,3600
3852000,0.026,3600
3855600,0.063,3600
3859200,0.096,3600
3862800,0.236,3600
3866400,0.493,3600
3870000,0.662,3600
3873600,0.536,3600
3877200,0.412,3600
3880800,0.29,3600
3884400,0.221,3600
3888000,0.171,3600
3891600,0.144,3600
3895200,0.138,3600
3898800,0.152,3600
3902400,0.183,3600
3906000,0.271,3600
3909600,0.466,3600
3913200,0.533,3600
3916800,0.28,3600
3920400,0.116,3600
3924000,0.04,3600
3927600,0.02,3600
3931200,0.011,3600
3934800,0.019,3600
3938400,0.026,3600
3942000,0.063,3600
3945600,0.096,3600
3949200,0.236,3600
3952800,0.493,3600
3956400,0.662,3600
3960000,0.536,3600
3963600,0.412,3600
3967200,0.29,3600
3970800,0.221,3600
3974400,0.171,3600
3978000,0.144,3600
3981600,0.138,3600
3985200,0.152,3600
3988800,0.183,3600
3992400,0.271,3600
3996000,0.466,3600
3999600,0.533,3600
4003200,0.28,3600
4006800,0.116,3600
4010400,0.04,3600
4014000,0.02,3600
4017600,0.011,3600
4021200,0.019,3600
4024800,0.026,3600
4028400,0.063,3600
4032000,0.096,3600
4035600,0.236,3600
4039200,0.493,3600
4042800,0.662,3600
4046400,0.536,3600
4050000,0.412,3600
4053600,0.29,3600
4057200,0.221,3600
4060800,0.171,3600
4064400,0.144,3600
4068000,0.138,3600
4071600,0.152,3600
4075200,0.183,3600
4078800,0.271,3600
4082400,0.466,3600
4086000,0.533,3600
4089600,0.28,3600
4093200,0.116,3600
4096800,0.04,3600
4100400,0.02,3600
4104000,0.011,3600
4107600,0.019,3600
4111200,0.026,3600
4114800,0.063,3600
4118400,0.096,3600
4122000,0.236,3600
4125600,0.493,3600
4129200,0.662,3600
4132800,0.536,3600
4136400,0.412,3600
4140000,0.29,3600
4143600,0.221,3600
4147200,0.171,3600
4150800,0.144,3600
4154400,0.138,3600
4158000,0.152,3600
4161600,0.183,3600
4165200,0.271,3600
4168800,0.466,3600
4172400,0.533,3600
4176000,0.28,3600
4179600,0.116,3600
4183200,0.04,3600
4186800,0.02,3600
4190400,0.011,3600
4194000,0.019,3600
4197600,0.026,3600
4201200,0.063,3600
4204800,0.096,3600
4208400,0.236,3600
4212000,0.493,3600
4215600,0.662,3600
4219200,0.536,3600
4222800,0.412,3600
4226400,0.29,3600
4230000,0.221,3600
4233600,0.171,3600
4237200,0.144,3600
4240800,0.138,3600
4244400,0.152,3600
4248000,0.183,3600
4251600,0.271,3600
4255200,0.466,3600
4258800,0.533,3600
4262400,0.28,3600
4266000,0.116,3600
4269600,0.04,3600
4273200,0.02,3600
4276800,0.011,3600
4280400,0.019,3600
4284000,0.026,3600
4287600,0.063,3600
4291200,0.096,3600
4294800,0.236,3600
4298400,0.493,3600
4302000,0.662,3600
4305600,0.536,3600
4309200,0.412,3600
4312800,0.29,3600
4316400,0.221,3600
4320000,0.171,3600
4323600,0.144,3600
4327200,0.138,3600
4330800,0.152,3600
4334400,0.183,3600
4338000,0.271,3600
4341600,0.466,3600
4345200,0.533,3600
4348800,0.28,3600
4352400,0.116,3600
4356000,0.04,3600
4359600,0.02,3600
4363200,0.011,3600
4366800,0.019,3600
4370400,0.026,3600
4374000,0.063,3600
4377600,0.096,3600
4381200,0.236,3600
4384800,0.493,3600
4388400,0.662,3600
4392000,0.536,3600
4395600,0.412,3600
4399200,0.29,3600
4402800,0.221,3600
4406400,0.171,3600
4410000,0.144,3600
4413600,0.138,3600
4417200,0.152,3600
4420800,0.183,3600
4424400,0.271,3600
4428000,0.466,3600
4431600,0.533,3600
4435200,0.28,3600
4438800,0.116,3600
4442400,0.04,3600
4446000,0.02,3600
4449600,0.011,3600
4453200,0.019,3600
4456800,0.026,3600
4460400,0.063,3600
4464000,0.096,3600
4467600,0.236,3600
4471200,0.493,3600
4474800,0.662,3600
4478400,0.536,3600
4482000,0.412,3600
4485600,0.29,3600
4489200,0.221,3600
4492800,0.171,3600
4496400,0.144,3600
4500000,0.138,3600
4503600,0.152,3600
4507200,0.183,3600
4510800,0.271,3600
4514400,0.466,3600
4518000,0.533,3600
4521600,0.28,3600
4525200,0.116,3600
4528800,0.04,3600
4532400,0.02,3600
4536000,0.011,3600
4539600,0.019,3600
4543200,0.026,3600
4546800,0.063,3600
4550400,0.096,3600
4554000,0.236,3600
4557600,0.493,3600
4561200,0.662,3600
4564800,0.536,3600
4568400,0.412,3600
4572000,0.29,3600
4575600,0.221,3600
4579200,0.171,3600
4582800,0.144,3600
4586400,0.138,3600
4590000,0.152,3600
4593600,0.183,3600
4597200,0.271,3600
4600800,0.466,3600
4604400,0.533,3600
4608000,0.28,3600
4611600,0.116,3600
4615200,0.04,3600
4618800,0.02,3600
4622400,0.011,3600
4626000,0.019,3600
4629600,0.026,3600
4633200,0.063,3600
4636800,0.096,3600
4640400,0.236,3600
4644000,0.493,3600
4647600,0.662,3600
4651200,0.536,3600
4654800,0.412,3600
4658400,0.29,3600
